zip_code, num_restaurants, num_reviews, num_reviews_per_restaurant, avg_total_reviews, avg_restaurant_rating, most_common_cat, num_most_common_cat, 2nd_most_common_cat, num_2nd_most_common_cat, 3rd_most_common_cat, num_3rd_most_common_cat
 10001, 79, 17670, 223.7, 3.8, 3.9, American (New), 12, Korean, 10, Pizza, 7
 10002, 125, 40372, 323.0, 4.0, 4.0, Chinese, 23, American (New), 17, Sandwiches, 11
 10003, 238, 92605, 389.1, 3.8, 3.9, American (New), 34, Japanese, 32, Italian, 28
 10004, 75, 6801, 90.7, 3.6, 3.6, American (Traditional), 12, Sandwiches, 12, Bars, 7
 10005, 36, 1949, 54.1, 3.4, 3.5, Food Stands, 7, Sandwiches, 6, American (New), 4
 10006, 45, 2236, 49.7, 3.3, 3.4, Delis, 9, American (Traditional), 5, Chinese, 5
 10007, 46, 3680, 80.0, 3.6, 3.6, American (New), 9, American (Traditional), 6, Sandwiches, 5
 10009, 110, 31346, 285.0, 4.0, 4.1, American (New), 18, Breakfast & Brunch, 12, Italian, 12
 10010, 83, 22427, 270.2, 3.7, 3.8, American (New), 13, Italian, 10, Sandwiches, 8
 10011, 122, 38954, 319.3, 3.9, 3.8, American (New), 25, Italian, 15, Breakfast & Brunch, 14
 10012, 170, 57065, 335.7, 3.9, 3.9, American (New), 28, Italian, 26, French, 15
 10013, 121, 32999, 272.7, 3.9, 3.9, American (New), 27, Chinese, 21, Italian, 18
 10014, 154, 47505, 308.5, 3.9, 3.9, American (New), 42, Italian, 27, Bars, 16
 10016, 104, 24984, 240.2, 3.8, 3.9, American (New), 15, Sandwiches, 12, Breakfast & Brunch, 9
 10017, 119, 18085, 152.0, 3.8, 3.7, Italian, 18, Japanese, 17, American (New), 16
 10018, 50, 10196, 203.9, 3.8, 3.8, Italian, 8, American (New), 7, Japanese, 6
 10019, 178, 59730, 335.6, 3.9, 3.9, American (New), 30, Italian, 25, American (Traditional), 19
 10020, 10, 2490, 249.0, 4.1, 3.8, Steakhouses, 5, American (Traditional), 2, Burgers, 1
 10021, 79, 12334, 156.1, 3.8, 3.7, Italian, 14, American (New), 9, French, 7
 10022, 103, 21267, 206.5, 3.7, 3.8, Italian, 13, American (New), 12, French, 10
 10023, 116, 17283, 149.0, 3.6, 3.5, Italian, 18, American (New), 14, French, 10
 10024, 103, 25329, 245.9, 3.7, 3.6, American (Traditional), 17, Italian, 17, Breakfast & Brunch, 12
 10025, 129, 15552, 120.6, 3.5, 3.6, Italian, 15, Pizza, 13, Mexican, 12
 10026, 57, 5770, 101.2, 3.6, 3.6, American (New), 7, American (Traditional), 6, African, 4
 10027, 77, 10025, 130.2, 3.6, 3.7, American (Traditional), 9, American (New), 8, Soul Food, 7
 10028, 85, 10292, 121.1, 3.9, 3.8, Italian, 19, American (New), 11, Mexican, 7
 10029, 75, 5080, 67.7, 3.8, 3.8, Latin American, 12, Mexican, 12, Pizza, 8
 10030, 38, 922, 24.3, 3.6, 3.4, Cafes, 5, Caribbean, 4, Seafood, 4
 10031, 64, 2416, 37.8, 3.7, 3.8, Mexican, 8, Latin American, 7, American (New), 5
 10032, 72, 2183, 30.3, 3.5, 3.6, Latin American, 13, Mexican, 9, Pizza, 8
 10033, 45, 2746, 61.0, 3.6, 3.7, Latin American, 9, Chinese, 5, Spanish, 5
 10034, 77, 3014, 39.1, 3.4, 3.4, Latin American, 14, Mexican, 8, Pizza, 7
 10035, 35, 1253, 35.8, 4.0, 4.0, Pizza, 5, Italian, 4, Caribbean, 3
 10036, 127, 35931, 282.9, 3.8, 3.8, American (New), 24, Italian, 20, American (Traditional), 16
 10037, 19, 410, 21.6, 3.6, 3.9, Chinese, 3, Cafes, 2, Restaurants, 2
 10038, 87, 8244, 94.8, 3.6, 3.6, Sandwiches, 12, American (New), 10, Italian, 10
 10039, 29, 299, 10.3, 3.7, 3.3, Burgers, 4, Chinese, 4, Delis, 4
 10040, 51, 1359, 26.6, 3.6, 3.4, Latin American, 11, Mexican, 6, Caribbean, 5
 10044, 3, 192, 64.0, 3.4, 3.3, American (Traditional), 2, Sushi Bars, 1, Bars, 1
 10065, 59, 6396, 108.4, 3.7, 3.5, French, 11, Italian, 10, American (New), 5
 10069, 5, 315, 63.0, 3.7, 3.5, Cafes, 2, Japanese, 1, American (New), 1
 10075, 51, 7321, 143.5, 3.7, 3.6, Italian, 11, American (New), 6, Sushi Bars, 5
 10111, 3, 175, 58.3, 3.5, 3.5, Brasseries, 1, Restaurants, 1, French, 1
 10128, 82, 10521, 128.3, 3.7, 3.8, Italian, 11, Breakfast & Brunch, 10, American (New), 10
 10280, 5, 482, 96.4, 3.2, 3.3, American (Traditional), 2, Tex-Mex, 1, Mediterranean, 1
 10281, 16, 696, 43.5, 3.2, 3.6, American (Traditional), 3, Mexican, 2, Sushi Bars, 1
 10282, 12, 1276, 106.3, 3.7, 3.5, Breakfast & Brunch, 2, Singaporean, 1, Barbeque, 1
 10301, 51, 1187, 23.3, 3.8, 3.7, Pizza, 11, Mexican, 7, Italian, 6
 10302, 46, 843, 18.3, 3.8, 3.6, Pizza, 10, Chinese, 8, Sandwiches, 5
 10303, 27, 357, 13.2, 3.4, 3.2, Fast Food, 4, Pizza, 4, Chinese, 3
 10304, 27, 520, 19.3, 3.8, 3.9, American (New), 5, Pizza, 4, Spanish, 3
 10305, 69, 1911, 27.7, 3.7, 3.7, Italian, 16, Pizza, 10, Chinese, 8
 10306, 44, 1123, 25.5, 3.8, 3.8, Italian, 11, Pizza, 7, American (Traditional), 4
 10307, 27, 223, 8.3, 3.6, 3.7, Italian, 9, Pizza, 5, , 2
 10308, 44, 727, 16.5, 3.5, 3.6, Italian, 15, Pizza, 11, Chinese, 5
 10309, 48, 825, 17.2, 3.6, 3.6, Pizza, 8, American (New), 7, Italian, 7
 10310, 44, 742, 16.9, 3.6, 3.6, Italian, 7, Pizza, 7, Delis, 5
 10312, 36, 583, 16.2, 3.6, 3.7, Pizza, 10, Italian, 7, American (New), 4
 10314, 72, 2102, 29.2, 3.4, 3.6, Pizza, 16, Italian, 10, American (Traditional), 7
 10451, 49, 652, 13.3, 3.4, 3.8, American (Traditional), 9, Pizza, 8, Latin American, 5
 10452, 28, 154, 5.5, 3.6, 3.4, American (New), 4, Burgers, 3, Restaurants, 3
 10453, 26, 103, 4.0, 3.6, 3.8, Mexican, 4, Latin American, 4, Burgers, 3
 10454, 32, 323, 10.1, 4.1, 3.6, Chinese, 5, Restaurants, 4, Mexican, 4
 10455, 56, 296, 5.3, 3.8, 3.7, Mexican, 15, Pizza, 6, Fast Food, 5
 10456, 32, 129, 4.0, 3.5, 3.4, Restaurants, 4, Chinese, 4, Pizza, 4
 10457, 20, 79, 4.0, 3.4, 3.7, Burgers, 3, Latin American, 3, Diners, 3
 10458, 116, 2453, 21.1, 3.9, 3.8, Italian, 23, Pizza, 18, Chinese, 12
 10459, 29, 67, 2.3, 3.6, 3.4, Pizza, 7, Chinese, 5, Restaurants, 4
 10460, 26, 137, 5.3, 3.5, 3.5, Burgers, 5, Spanish, 5, Fast Food, 4
 10461, 93, 1917, 20.6, 3.7, 3.6, Pizza, 17, Chinese, 12, Italian, 12
 10462, 109, 1631, 15.0, 3.8, 3.6, Pizza, 22, Mexican, 12, Chinese, 11
 10465, 37, 762, 20.6, 3.7, 3.9, Pizza, 9, Italian, 7, American (Traditional), 3
 10466, 25, 126, 5.0, 4.1, 4.2, Caribbean, 7, Pizza, 5, Chinese, 3
 10467, 32, 328, 10.3, 3.7, 3.9, Pizza, 7, Chinese, 6, Mexican, 4
 10468, 58, 603, 10.4, 3.5, 3.4, Mexican, 11, Pizza, 9, Restaurants, 8
 10469, 44, 401, 9.1, 3.4, 3.5, Caribbean, 9, Chinese, 7, Pizza, 7
 10470, 18, 207, 11.5, 3.8, 3.6, Pizza, 6, Sandwiches, 3, Pubs, 2
 10471, 32, 580, 18.1, 3.6, 3.5, Pizza, 7, Delis, 5, Mexican, 3
 10472, 44, 283, 6.4, 3.5, 3.4, Chinese, 9, Mexican, 7, Pizza, 7
 10473, 13, 88, 6.8, 3.6, 3.9, Spanish, 2, American (New), 2, Chinese, 2
 10474, 13, 65, 5.0, 3.2, 3.2, Barbeque, 2, Delis, 2, Pizza, 2
 10475, 37, 426, 11.5, 2.6, 2.6, Burgers, 6, Chinese, 6, American (Traditional), 5
 11001, 44, 812, 18.5, 3.9, 3.9, American (New), 7, Pizza, 7, Italian, 6
 11004, 27, 575, 21.3, 3.5, 3.1, Indian, 11, Chinese, 5, Pakistani, 3
 11005, 1, 5, 5.0, 2.4, 2.5, Diners, 1, n/a, n/a, n/a, n/a
 11040, 68, 2671, 39.3, 3.7, 3.7, Italian, 15, Pizza, 11, Indian, 6
 11096, 11, 48, 4.4, 3.1, 3.6, Pizza, 5, Sandwiches, 2, Italian, 2
 11101, 46, 5482, 119.2, 3.8, 4.0, American (New), 9, Breakfast & Brunch, 7, Bars, 5
 11102, 44, 6537, 148.6, 3.7, 3.8, Pizza, 6, Italian, 5, Breakfast & Brunch, 4
 11103, 106, 14179, 133.8, 3.8, 3.8, American (New), 13, Mexican, 13, Pizza, 11
 11104, 99, 6007, 60.7, 3.7, 3.5, Pizza, 12, Mexican, 10, Chinese, 8
 11105, 100, 9782, 97.8, 3.9, 3.9, Greek, 22, Pizza, 16, Italian, 15
 11106, 79, 11241, 142.3, 3.9, 3.9, Italian, 10, Pizza, 9, Bars, 8
 11109, 2, 407, 203.5, 3.5, 4.3, Sushi Bars, 1, Burgers, 1, Food Trucks, 1
 11201, 117, 20967, 179.2, 3.9, 3.8, Italian, 21, American (New), 19, Pizza, 14
 11203, 50, 664, 13.3, 3.4, 3.6, Caribbean, 14, Restaurants, 9, American (New), 5
 11204, 68, 1581, 23.3, 3.5, 3.7, Chinese, 21, Pizza, 12, Japanese, 7
 11205, 50, 6323, 126.5, 3.7, 3.8, American (New), 10, Coffee & Tea, 7, Breakfast & Brunch, 5
 11206, 56, 4382, 78.3, 4.0, 4.1, Mexican, 13, Bars, 9, American (New), 8
 11207, 23, 279, 12.1, 3.3, 3.9, Pizza, 4, Spanish, 3, Breakfast & Brunch, 3
 11208, 32, 291, 9.1, 3.6, 3.8, Latin American, 8, Pizza, 7, Caribbean, 3
 11209, 204, 10473, 51.3, 3.7, 3.6, Pizza, 23, Chinese, 21, Italian, 19
 11210, 58, 494, 8.5, 3.5, 3.6, Chinese, 10, Caribbean, 9, Kosher, 8
 11211, 129, 27759, 215.2, 4.0, 4.1, Bars, 24, American (New), 24, Breakfast & Brunch, 19
 11212, 43, 125, 2.9, 3.5, 3.6, Caribbean, 8, Restaurants, 7, Pizza, 5
 11213, 27, 227, 8.4, 3.6, 3.7, Caribbean, 6, Kosher, 4, Indian, 2
 11214, 66, 3514, 53.2, 3.6, 3.7, Chinese, 12, Japanese, 11, Pizza, 9
 11215, 169, 23656, 140.0, 3.8, 3.8, Italian, 23, American (New), 22, Mexican, 18
 11216, 64, 3245, 50.7, 3.9, 4.0, Caribbean, 16, Breakfast & Brunch, 7, Coffee & Tea, 7
 11217, 90, 14324, 159.2, 3.8, 3.8, American (New), 14, Italian, 9, Sandwiches, 8
 11218, 70, 3348, 47.8, 3.8, 3.7, Mexican, 14, Pizza, 10, American (New), 7
 11219, 45, 881, 19.6, 3.7, 3.8, Chinese, 9, Kosher, 7, Italian, 6
 11220, 197, 4922, 25.0, 3.8, 3.7, Chinese, 75, Mexican, 23, Latin American, 11
 11221, 46, 1655, 36.0, 3.8, 3.8, Pizza, 7, Cafes, 5, Latin American, 4
 11222, 40, 5375, 134.4, 4.1, 4.2, American (New), 9, Pizza, 5, Vegan, 4
 11223, 117, 3763, 32.2, 3.8, 3.6, Chinese, 15, Russian, 12, Italian, 12
 11224, 26, 1685, 64.8, 3.5, 3.3, American (Traditional), 7, Pizza, 4, Mexican, 3
 11225, 40, 1293, 32.3, 3.7, 4.0, Caribbean, 10, Cafes, 6, American (Traditional), 4
 11226, 77, 2279, 29.6, 3.6, 3.7, Caribbean, 17, Chinese, 17, Mexican, 8
 11228, 46, 1267, 27.5, 3.6, 3.6, Pizza, 11, Italian, 8, Sandwiches, 7
 11229, 56, 1948, 34.8, 3.8, 3.8, Sushi Bars, 9, Chinese, 8, Japanese, 8
 11230, 70, 3165, 45.2, 3.8, 3.7, Kosher, 19, Pizza, 10, Fast Food, 6
 11231, 97, 11584, 119.4, 3.8, 3.9, American (New), 16, Italian, 11, Mexican, 11
 11232, 47, 1525, 32.4, 4.1, 4.0, Chinese, 7, Mexican, 7, Latin American, 5
 11233, 29, 1443, 49.8, 3.6, 3.9, Chinese, 4, Sandwiches, 4, Breakfast & Brunch, 3
 11234, 32, 1138, 35.6, 3.6, 3.8, Italian, 6, Pizza, 5, Asian Fusion, 4
 11235, 119, 4998, 42.0, 3.7, 3.8, Russian, 25, Pizza, 12, Japanese, 12
 11236, 34, 240, 7.1, 3.6, 3.7, Restaurants, 8, Caribbean, 8, Chinese, 4
 11237, 97, 4926, 50.8, 4.0, 4.0, Mexican, 17, Breakfast & Brunch, 9, Sandwiches, 8
 11238, 110, 14163, 128.8, 3.8, 3.8, American (New), 19, Mexican, 14, Breakfast & Brunch, 11
 11239, 6, 194, 32.3, 2.8, 2.6, Burgers, 1, Sports Bars, 1, Caribbean, 1
 11354, 141, 12877, 91.3, 3.7, 3.8, Chinese, 50, Korean, 40, Taiwanese, 13
 11355, 143, 6180, 43.2, 3.7, 3.8, Chinese, 68, Korean, 16, Food Stands, 7
 11356, 35, 882, 25.2, 3.6, 3.6, Pizza, 6, Chinese, 4, Delis, 4
 11357, 38, 1503, 39.6, 3.8, 3.7, Italian, 15, Pizza, 7, Delis, 4
 11358, 103, 3867, 37.5, 3.6, 3.7, Korean, 42, Japanese, 13, Pizza, 10
 11360, 18, 805, 44.7, 3.2, 3.3, Burgers, 3, Steakhouses, 3, American (Traditional), 3
 11361, 103, 6446, 62.6, 3.6, 3.5, Korean, 22, Pizza, 11, Chinese, 11
 11362, 54, 1961, 36.3, 3.6, 3.5, Japanese, 8, Chinese, 6, Italian, 6
 11363, 8, 267, 33.4, 3.7, 3.9, Italian, 3, Delis, 2, Barbeque, 1
 11364, 31, 1434, 46.3, 3.6, 3.6, Chinese, 6, Italian, 5, Pizza, 5
 11365, 27, 1322, 49.0, 3.4, 3.2, Chinese, 9, Pizza, 4, Burgers, 3
 11366, 42, 1155, 27.5, 3.5, 3.5, Chinese, 9, Kosher, 8, Pizza, 6
 11367, 47, 1320, 28.1, 3.5, 3.4, Pizza, 9, Kosher, 8, Chinese, 6
 11368, 76, 2505, 33.0, 4.1, 4.0, Latin American, 24, Mexican, 13, Pizza, 8
 11369, 21, 533, 25.4, 3.2, 3.3, Chinese, 4, Burgers, 3, Sandwiches, 3
 11371, 2, 30, 15.0, 3.6, 4.3, Buffets, 1, Pizza, 1, n/a, n/a
 11372, 158, 7387, 46.8, 3.7, 3.8, Latin American, 38, Indian, 18, Mexican, 16
 11373, 122, 7288, 59.7, 3.7, 3.7, Chinese, 26, Thai, 13, Mexican, 11
 11374, 60, 3209, 53.5, 3.5, 3.6, Chinese, 10, American (Traditional), 7, Russian, 5
 11375, 90, 11095, 123.3, 3.6, 3.6, American (New), 12, American (Traditional), 9, Italian, 8
 11377, 44, 5898, 134.0, 3.9, 3.9, Filipino, 7, Mexican, 7, Thai, 7
 11378, 14, 755, 53.9, 4.0, 4.0, Italian, 4, Pizza, 4, Burgers, 2
 11379, 32, 650, 20.3, 3.7, 3.7, Pizza, 7, Chinese, 6, Delis, 5
 11385, 65, 3597, 55.3, 3.7, 3.9, Italian, 8, Pizza, 7, American (Traditional), 6
 11411, 20, 62, 3.1, 3.2, 3.4, Restaurants, 4, Caribbean, 4, Fast Food, 3
 11412, 23, 60, 2.6, 3.3, 3.2, Caribbean, 5, Restaurants, 4, Indian, 2
 11413, 28, 221, 7.9, 3.5, 3.7, Caribbean, 8, Chinese, 5, Fast Food, 3
 11414, 41, 1550, 37.8, 3.6, 3.3, Italian, 9, Pizza, 7, Chinese, 5
 11415, 38, 1425, 37.5, 3.5, 3.4, Pizza, 6, Chinese, 5, Burgers, 4
 11416, 34, 262, 7.7, 3.4, 3.4, Chinese, 8, Pizza, 5, Spanish, 3
 11417, 37, 372, 10.1, 3.6, 3.4, Pizza, 11, Italian, 5, Restaurants, 5
 11418, 48, 615, 12.8, 3.7, 3.5, Delis, 7, Indian, 6, Chinese, 6
 11419, 52, 691, 13.3, 3.5, 3.3, Caribbean, 16, Restaurants, 10, Indian, 9
 11420, 50, 818, 16.4, 3.4, 3.3, Restaurants, 9, Caribbean, 7, Pizza, 7
 11421, 43, 284, 6.6, 3.5, 3.4, Mexican, 6, Pizza, 6, Spanish, 5
 11422, 33, 528, 16.0, 3.2, 3.5, Caribbean, 5, American (Traditional), 4, Chinese, 4
 11423, 19, 197, 10.4, 3.8, 3.1, Chinese, 3, American (New), 3, Pizza, 3
 11426, 26, 432, 16.6, 3.4, 3.6, Indian, 7, Pizza, 6, Halal, 3
 11427, 12, 256, 21.3, 3.5, 2.8, Diners, 2, Burgers, 2, Indian, 2
 11428, 24, 191, 8.0, 3.3, 3.3, Restaurants, 4, Chinese, 3, Indian, 2
 11429, 14, 78, 5.6, 3.3, 3.3, Caribbean, 4, Chinese, 4, Delis, 3
 11430, 43, 1029, 23.9, 2.7, 2.7, Fast Food, 6, Burgers, 5, American (New), 5
 11432, 102, 1424, 14.0, 3.6, 3.5, Chinese, 14, Indian, 13, Pizza, 12
 11433, 15, 85, 5.7, 3.6, 3.4, Chicken Wings, 4, Sandwiches, 3, Caribbean, 2
 11434, 40, 352, 8.8, 3.6, 3.5, Restaurants, 6, Chinese, 6, Caribbean, 4
 11435, 43, 767, 17.8, 3.5, 3.8, Latin American, 5, Chinese, 5, Pizza, 5
 11436, 9, 95, 10.6, 3.3, 3.1, American (New), 2, Caribbean, 2, Chinese, 2
 11691, 20, 80, 4.0, 3.4, 3.5, Chinese, 5, Pizza, 4, Restaurants, 3
 11692, 11, 101, 9.2, 3.6, 2.8, Chinese, 2, American (New), 2, Pizza, 2
 11694, 39, 483, 12.4, 3.6, 3.4, Delis, 5, Pizza, 5, Chinese, 4
 11697, 6, 51, 8.5, 3.4, 3.6, Bars, 1, Burgers, 1, American (New), 1